id,cnpj,created_at,updated_at,nome_fantasia,sap,razao,regional
121,07244008000223,"2017-09-26 15:07:40.811429","2017-09-26 15:07:40.811429","EYES NWHERE","","EYES NWHERE SIST. INTELIG. DE IMAGEM","Belém"
122,20379501000138,"2017-09-26 15:07:40.830375","2017-09-26 15:07:40.830375",ULTRANET,"","F J R W ASSOCIADOS LTDA - ME",Fortaleza
123,01387236000195,"2017-09-26 15:07:40.857924","2017-09-26 15:07:40.857924",BNET,"","FAVIERO DUARTE & CIA LTDA","Porto Alegre"
124,12487878000182,"2017-09-26 15:07:40.878960","2017-09-26 15:07:40.878960","FAZENDO MAIS","","FAZENDO MAIS TECNOLOGIA AVANÇADA PARA ENVENTOS LTDA","Brasília"
125,10217540000185,"2017-09-26 15:07:40.899053","2017-09-26 15:07:40.899053","FERNANDO NET","","FERNANDO NET & TELECOM","Brasília"
126,20900302000123,"2017-09-26 15:07:40.920253","2017-09-26 15:07:40.920253",ARJNET,"","FIGUEIREDO & SILVA LTDA",Fortaleza
127,20212207000137,"2017-09-26 15:07:40.940983","2017-09-26 15:07:40.940983","VENON CONNECT","","FIUZA INFORMÁTICA & TELECOMUNICAÇÃO LTDA - ME","Brasília"
128,11840992000181,"2017-09-26 15:07:40.968623","2017-09-26 15:07:40.968623",CAIAPONIANET,"","FLÁVIO GARCIA FERREIRA - ME","Brasília"
129,01836999000176,"2017-09-26 15:07:40.990283","2017-09-26 15:07:40.990283","INEXA TECNOLOGIA","","FLAVIO JOSE PENSO JUNIOR - ME","Brasília"
130,08906994000111,"2017-09-26 15:07:41.014699","2017-09-26 15:07:41.014699",FNP,"","FONTE NOVA NEGÓCIOS E PARTICIPAÇÕES S.A.",Fortaleza
131,00795293000140,"2017-09-26 15:07:41.033408","2017-09-26 15:07:41.033408","EDI MELO -  INFORMÁTICA -  SERVIÇOS E TELEC","","FRANCISCA EDILEUZA MELO Â",Fortaleza
132,20460413000166,"2017-09-26 15:07:41.056773","2017-09-26 15:07:41.056773","FULL 3 TELECOM","","FULL 3 TELECOM LTDA - ME","Brasília"
133,34585380000195,"2017-09-26 15:07:41.081113","2017-09-26 15:07:41.081113",FVO,"","FUNDAÇÃO  VILA OLÍMPICA - FVO",Governo
134,00662197000124,"2017-09-26 15:07:41.100589","2017-09-26 15:07:41.100589",FUNAG,"","FUNDAÇÃO ALEXANDRE DE GUSMÃO - FUNAG","Brasília"
135,33781055006761,"2017-09-26 15:07:41.124127","2017-09-26 15:07:41.124127","FIOCRUZ CEARA","","FUNDAÇÃO OSWALDO CRUZ",Governo
136,23274194000119,"2017-09-26 15:07:41.149043","2017-09-26 15:07:41.149043",FURNAS,"","FURNAS CENTRAIS ELÉTRICA S.A.",Governo
137,18174153000110,"2017-09-26 15:07:41.171550","2017-09-26 15:07:41.171550",INTERLINE,"","FURTADO & FURTADO PROVEDORES LTDA - ME","Belém"
138,02926037000170,"2017-09-26 15:07:41.192221","2017-09-26 15:07:41.192221","G8 Networks","","G8 NETWORKS LTDA","Brasília"
139,06129343000137,"2017-09-26 15:07:41.211567","2017-09-26 15:07:41.211567","GENESIS INFORMÁTICA","","GENESIS COMÉRCIO DE COMPUTADORES LTDA - ME","Brasília"
140,18671267000176,"2017-09-26 15:07:41.231337","2017-09-26 15:07:41.231337","GIGABYTE NETWORK","","GIGABYTE NETWORK COMÉRCIO E SERVIÇOS EIRELI - EPP","Belém"
141,09032588000130,"2017-09-26 15:07:41.253214","2017-09-26 15:07:41.253214","GO NETWORKS","","GINONET.COM.BR PROVEDORES DE ACESSO A RE","Brasília"
142,03420926000124,"2017-09-26 15:07:41.278943","2017-09-26 15:07:41.278943",GVT,"","GLOBAL VILLAGE TELECOM LTDA","São Paulo"
143,02705128000186,"2017-09-26 15:07:41.298736","2017-09-26 15:07:41.298736","MICROLINK INFORMATICA","","GM INFORMÁTICA","Rio de Janeiro"
144,11739842000186,"2017-09-26 15:07:41.320430","2017-09-26 15:07:41.320430","GNET COMUNICAÇÕES","","GNET COMUNICAÇÕES E INFORM LTDA","Belém"
145,09011207000136,"2017-09-26 15:07:41.342656","2017-09-26 15:07:41.342656","GNEX TELECOM","","GNEX LTDA - ME","Belém"
146,20193955000110,"2017-09-26 15:07:41.362739","2017-09-26 15:07:41.362739","GOLD LINK","","GOLD TELECOMUNICACOES LTDA - ME","São Paulo"
147,03693136000112,"2017-09-26 15:07:41.384961","2017-09-26 15:07:41.384961","GOVERNO DE RONDONIA","","GOVERNO DO ESTADO DE RONDÔNIA",Governo
148,00394429017429,"2017-09-26 15:07:41.426574","2017-09-26 15:07:41.426574","GRUPAMENTO DE APOIO LOGÍSTICO (GAL)","","GRUPAMENTO DE APOIO LOGÍSTICO (GAL)",Governo
149,14959659000184,"2017-09-26 15:07:41.449749","2017-09-26 15:07:41.449749","GRUPO CONECTA","","GRUPO CONECTA TELECOM SERVIÇOS DE TELECOMUNICAÇÕES LTDA.","Belém"
150,08617194000180,"2017-09-26 15:07:41.470220","2017-09-26 15:07:41.470220",GTNET,"","GTNET PROVEDOR DE ACESSO A INTERNET LTDA - ME",Fortaleza
151,02687221000105,"2017-09-26 15:07:41.491388","2017-09-26 15:07:41.491388","GURISAT GURINET","","GURISAT GURINET LTDA","Rio de Janeiro"
152,07636657000270,"2017-09-26 15:07:41.514964","2017-09-26 15:07:41.514964","AVB - ACO VERDE DO BRASIL","","GUSA NORDESTE S.A.","Brasília"
153,14809276000120,"2017-09-26 15:07:41.533231","2017-09-26 15:07:41.533231","PROVEDOR DE INTERNET CONEXAO NET","","H.R.B. LACERDA COMERCIO E SERVIÇOS - ME","Belém"
154,01003578000164,"2017-09-26 15:07:41.556082","2017-09-26 15:07:41.556082","RÁPIDO INTERNET BANDA LARGA","","HALLEY TELECOM COMERCIO & SERVICOS LTDA - ME","Belém"
155,04011732000138,"2017-09-26 15:07:41.612390","2017-09-26 15:07:41.612390","SHOPNET INFORMÁTICA","","HENRIQUE HONÓRIO PEREIRA CABRAL","Porto Alegre"
156,07821488000167,"2017-09-26 15:07:41.678438","2017-09-26 15:07:41.678438","HONOS DATA EXCHANGE","","HONOS DATA EXCHANGE INFORMATICA LTDA - EPP","Porto Alegre"
157,22240475000198,"2017-09-26 15:07:41.738436","2017-09-26 15:07:41.738436","NET TELECOM","","I CESAR PEREIRA BARROS","Brasília"
